"social","econ","service","country","education","destination","candidate","c.same","id","age","gender","ideology","likely","interest","aus","can","us"
"Generous guaranteed monthly family allowance","Annual GDP Growth of 6%","Average international ranking of service salaries: 90th Percentile","Canada","Average international ranking of universities: 90th Percentile",1,2,0,73,57,"Male",6,2,4,5,5,5
"Generous guaranteed monthly family allowance","Annual GDP Growth of 6%","Average international ranking of service salaries: 50th Percentile","Australia","Average international ranking of universities: 90th Percentile",1,2,0,74,22,"Female",3,4,5,7,7,1
"Basic hourly minimum wage","Annual GDP Growth of 6%","Average international ranking of service salaries: 70th Percentile","Canada","Average international ranking of universities: 60th Percentile",0,2,0,75,19,"Male",3,2,4,5,4,6
"Generous guaranteed monthly family allowance","Annual GDP Growth of 6%","Average international ranking of service salaries: 50th Percentile","U.S.A.","Average international ranking of universities: 90th Percentile",0,2,0,76,31,"Female",4,7,7,6,6,5
"No state minimum wage or income support","Annual GDP Growth of 4%","Average international ranking of service salaries: 70th Percentile","U.S.A.","Average international ranking of universities: 90th Percentile",0,2,0,77,37,"Female",6,6,6,5,6,3
"Generous guaranteed monthly family allowance","Annual GDP Growth of 4%","Average international ranking of service salaries: 90th Percentile","U.S.A.","Average international ranking of universities: 90th Percentile",0,2,0,78,31,"Male",2,5,5,6,4,5
"Generous guaranteed monthly family allowance","Annual GDP Growth of 2%","Average international ranking of service salaries: 90th Percentile","U.S.A.","Average international ranking of universities: 90th Percentile",0,2,0,79,19,"Male",8,2,4,5,6,5
"No state minimum wage or income support","Annual GDP Growth of 2%","Average international ranking of service salaries: 50th Percentile","U.S.A.","Average international ranking of universities: 90th Percentile",0,2,0,80,24,"Female",5,2,4,4,7,6
"No state minimum wage or income support","Annual GDP Growth of 4%","Average international ranking of service salaries: 70th Percentile","Australia","Average international ranking of universities: 40th Percentile",1,2,0,81,19,"Female",5,5,7,7,6,5
"No state minimum wage or income support","Annual GDP Growth of 2%","Average international ranking of service salaries: 90th Percentile","Australia","Average international ranking of universities: 90th Percentile",0,2,0,82,26,"Male",3,6,7,6,6,2
"No state minimum wage or income support","Annual GDP Growth of 6%","Average international ranking of service salaries: 70th Percentile","U.S.A.","Average international ranking of universities: 60th Percentile",0,2,1,83,22,"Female",1,7,7,4,7,6
"No state minimum wage or income support","Annual GDP Growth of 2%","Average international ranking of service salaries: 70th Percentile","Canada","Average international ranking of universities: 90th Percentile",0,2,0,84,20,"Male",5,2,5,6,6,6
"Basic hourly minimum wage","Annual GDP Growth of 6%","Average international ranking of service salaries: 90th Percentile","Australia","Average international ranking of universities: 40th Percentile",0,2,0,85,25,"Female",2,5,5,5,5,2
"Basic hourly minimum wage","Annual GDP Growth of 2%","Average international ranking of service salaries: 70th Percentile","Australia","Average international ranking of universities: 60th Percentile",1,2,0,86,25,"Male",2,3,5,4,5,3
"Basic hourly minimum wage","Annual GDP Growth of 4%","Average international ranking of service salaries: 50th Percentile","U.S.A.","Average international ranking of universities: 40th Percentile",0,2,1,87,20,"Female",3,3,6,5,6,4
"Basic hourly minimum wage","Annual GDP Growth of 6%","Average international ranking of service salaries: 70th Percentile","Canada","Average international ranking of universities: 90th Percentile",1,2,0,88,27,"Female",5,5,5,5,7,5
"Basic hourly minimum wage","Annual GDP Growth of 2%","Average international ranking of service salaries: 70th Percentile","Canada","Average international ranking of universities: 90th Percentile",0,2,0,89,20,"Male",7,4,4,6,5,3
"Generous guaranteed monthly family allowance","Annual GDP Growth of 2%","Average international ranking of service salaries: 50th Percentile","U.S.A.","Average international ranking of universities: 40th Percentile",1,2,1,90,24,"Female",3,7,7,4,7,6
"No state minimum wage or income support","Annual GDP Growth of 4%","Average international ranking of service salaries: 50th Percentile","Australia","Average international ranking of universities: 40th Percentile",0,2,1,91,22,"Female",4,7,7,6,6,3
"Basic hourly minimum wage","Annual GDP Growth of 2%","Average international ranking of service salaries: 70th Percentile","Australia","Average international ranking of universities: 90th Percentile",1,2,0,92,20,"Female",4,7,5,5,6,4
"Generous guaranteed monthly family allowance","Annual GDP Growth of 6%","Average international ranking of service salaries: 70th Percentile","U.S.A.","Average international ranking of universities: 90th Percentile",1,2,0,93,20,"Female",3,6,5,6,5,5
"No state minimum wage or income support","Annual GDP Growth of 2%","Average international ranking of service salaries: 70th Percentile","U.S.A.","Average international ranking of universities: 60th Percentile",0,2,1,94,20,"Female",0,5,6,7,7,6
"Basic hourly minimum wage","Annual GDP Growth of 6%","Average international ranking of service salaries: 50th Percentile","Australia","Average international ranking of universities: 60th Percentile",1,2,0,95,55,"Male",6,5,7,5,1,6
"No state minimum wage or income support","Annual GDP Growth of 4%","Average international ranking of service salaries: 70th Percentile","U.S.A.","Average international ranking of universities: 40th Percentile",0,2,0,96,27,"Female",4,4,7,6,6,6
"Generous guaranteed monthly family allowance","Annual GDP Growth of 6%","Average international ranking of service salaries: 70th Percentile","Canada","Average international ranking of universities: 90th Percentile",1,2,1,97,25,"Female",4,5,6,6,7,5
"No state minimum wage or income support","Annual GDP Growth of 2%","Average international ranking of service salaries: 70th Percentile","U.S.A.","Average international ranking of universities: 90th Percentile",1,2,0,98,20,"Female",3,2,5,5,4,4
"Basic hourly minimum wage","Annual GDP Growth of 4%","Average international ranking of service salaries: 70th Percentile","U.S.A.","Average international ranking of universities: 90th Percentile",1,2,0,99,31,"Female",7,5,4,6,3,5
"Generous guaranteed monthly family allowance","Annual GDP Growth of 2%","Average international ranking of service salaries: 70th Percentile","Canada","Average international ranking of universities: 60th Percentile",1,2,0,100,20,"Female",3,7,7,3,4,5
"Basic hourly minimum wage","Annual GDP Growth of 6%","Average international ranking of service salaries: 90th Percentile","U.S.A.","Average international ranking of universities: 60th Percentile",0,2,0,101,23,"Female",2,6,6,7,7,3
"Generous guaranteed monthly family allowance","Annual GDP Growth of 2%","Average international ranking of service salaries: 50th Percentile","Australia","Average international ranking of universities: 60th Percentile",1,2,0,102,21,"Female",7,5,6,6,4,5
"Generous guaranteed monthly family allowance","Annual GDP Growth of 4%","Average international ranking of service salaries: 90th Percentile","Canada","Average international ranking of universities: 90th Percentile",1,2,0,103,20,"Female",4,7,2,1,7,1
"No state minimum wage or income support","Annual GDP Growth of 4%","Average international ranking of service salaries: 90th Percentile","Canada","Average international ranking of universities: 90th Percentile",0,2,0,104,20,"Male",2,2,3,3,4,5
"No state minimum wage or income support","Annual GDP Growth of 2%","Average international ranking of service salaries: 70th Percentile","Australia","Average international ranking of universities: 90th Percentile",1,2,1,105,20,"Female",0,3,4,1,1,1
"No state minimum wage or income support","Annual GDP Growth of 2%","Average international ranking of service salaries: 50th Percentile","U.S.A.","Average international ranking of universities: 40th Percentile",0,2,0,106,24,"Female",5,4,5,6,5,4
"Generous guaranteed monthly family allowance","Annual GDP Growth of 6%","Average international ranking of service salaries: 90th Percentile","U.S.A.","Average international ranking of universities: 60th Percentile",0,2,0,107,23,"Female",6,6,7,4,5,1
"No state minimum wage or income support","Annual GDP Growth of 4%","Average international ranking of service salaries: 50th Percentile","U.S.A.","Average international ranking of universities: 60th Percentile",1,2,0,108,20,"Male",2,3,4,5,7,5
"Basic hourly minimum wage","Annual GDP Growth of 2%","Average international ranking of service salaries: 70th Percentile","Canada","Average international ranking of universities: 60th Percentile",0,2,0,109,27,"Female",2,5,7,6,3,7
"Generous guaranteed monthly family allowance","Annual GDP Growth of 2%","Average international ranking of service salaries: 90th Percentile","U.S.A.","Average international ranking of universities: 40th Percentile",1,2,0,110,20,"Male",2,5,5,5,6,3
"Generous guaranteed monthly family allowance","Annual GDP Growth of 2%","Average international ranking of service salaries: 90th Percentile","Canada","Average international ranking of universities: 60th Percentile",1,2,0,111,20,"Female",4,NA,4,5,7,3
"No state minimum wage or income support","Annual GDP Growth of 6%","Average international ranking of service salaries: 50th Percentile","Australia","Average international ranking of universities: 60th Percentile",0,2,1,112,19,"Female",2,4,5,3,6,2
"Generous guaranteed monthly family allowance","Annual GDP Growth of 4%","Average international ranking of service salaries: 70th Percentile","Canada","Average international ranking of universities: 60th Percentile",1,2,1,113,19,"Male",1,3,7,5,6,5
"Generous guaranteed monthly family allowance","Annual GDP Growth of 6%","Average international ranking of service salaries: 90th Percentile","U.S.A.","Average international ranking of universities: 40th Percentile",1,2,0,114,19,"Male",5,7,3,6,6,6
"Generous guaranteed monthly family allowance","Annual GDP Growth of 6%","Average international ranking of service salaries: 70th Percentile","Canada","Average international ranking of universities: 40th Percentile",1,2,0,115,19,"Female",3,5,5,5,6,4
"Generous guaranteed monthly family allowance","Annual GDP Growth of 4%","Average international ranking of service salaries: 50th Percentile","U.S.A.","Average international ranking of universities: 60th Percentile",0,2,0,116,25,"Male",3,4,5,4,6,6
"Basic hourly minimum wage","Annual GDP Growth of 4%","Average international ranking of service salaries: 50th Percentile","U.S.A.","Average international ranking of universities: 90th Percentile",1,2,0,117,22,"Male",8,6,6,6,5,7
"Basic hourly minimum wage","Annual GDP Growth of 6%","Average international ranking of service salaries: 50th Percentile","U.S.A.","Average international ranking of universities: 60th Percentile",0,2,0,118,20,"Male",3,5,6,5,6,6
"No state minimum wage or income support","Annual GDP Growth of 4%","Average international ranking of service salaries: 90th Percentile","Australia","Average international ranking of universities: 40th Percentile",0,2,1,119,21,"Female",5,7,2,5,6,6
"Basic hourly minimum wage","Annual GDP Growth of 6%","Average international ranking of service salaries: 50th Percentile","Australia","Average international ranking of universities: 60th Percentile",0,2,1,120,19,"Male",5,4,6,6,6,6
"Generous guaranteed monthly family allowance","Annual GDP Growth of 4%","Average international ranking of service salaries: 90th Percentile","Canada","Average international ranking of universities: 90th Percentile",0,2,0,121,19,"Female",7,2,7,2,2,7
"Basic hourly minimum wage","Annual GDP Growth of 2%","Average international ranking of service salaries: 90th Percentile","Australia","Average international ranking of universities: 60th Percentile",1,2,0,122,22,"Female",4,6,7,5,6,3
"No state minimum wage or income support","Annual GDP Growth of 6%","Average international ranking of service salaries: 70th Percentile","Canada","Average international ranking of universities: 90th Percentile",0,2,0,123,30,"Male",5,5,5,5,4,6
"Basic hourly minimum wage","Annual GDP Growth of 6%","Average international ranking of service salaries: 50th Percentile","Australia","Average international ranking of universities: 60th Percentile",1,2,0,124,20,"Male",6,3,7,7,7,5
"No state minimum wage or income support","Annual GDP Growth of 4%","Average international ranking of service salaries: 70th Percentile","U.S.A.","Average international ranking of universities: 90th Percentile",1,2,0,125,22,"Male",4,4,7,6,7,7
"Basic hourly minimum wage","Annual GDP Growth of 2%","Average international ranking of service salaries: 70th Percentile","Canada","Average international ranking of universities: 60th Percentile",1,2,1,126,25,"Female",3,7,7,5,6,3
"No state minimum wage or income support","Annual GDP Growth of 4%","Average international ranking of service salaries: 50th Percentile","Australia","Average international ranking of universities: 60th Percentile",0,2,0,127,26,"Female",3,7,6,5,6,2
"No state minimum wage or income support","Annual GDP Growth of 2%","Average international ranking of service salaries: 90th Percentile","Canada","Average international ranking of universities: 60th Percentile",1,2,0,128,23,"Male",3,6,6,6,7,6
"Generous guaranteed monthly family allowance","Annual GDP Growth of 6%","Average international ranking of service salaries: 70th Percentile","Canada","Average international ranking of universities: 90th Percentile",1,2,0,129,20,"Male",4,4,6,5,6,6
"No state minimum wage or income support","Annual GDP Growth of 6%","Average international ranking of service salaries: 50th Percentile","Australia","Average international ranking of universities: 40th Percentile",0,2,0,130,21,"Female",5,5,6,5,6,4
"No state minimum wage or income support","Annual GDP Growth of 2%","Average international ranking of service salaries: 70th Percentile","U.S.A.","Average international ranking of universities: 90th Percentile",0,2,0,131,20,"Other",2,3,4,5,6,3
"No state minimum wage or income support","Annual GDP Growth of 4%","Average international ranking of service salaries: 90th Percentile","Canada","Average international ranking of universities: 40th Percentile",1,2,0,132,21,"Female",3,4,6,3,3,2
"Generous guaranteed monthly family allowance","Annual GDP Growth of 2%","Average international ranking of service salaries: 90th Percentile","Australia","Average international ranking of universities: 60th Percentile",0,2,1,133,27,"Female",2,6,5,5,6,3
"Generous guaranteed monthly family allowance","Annual GDP Growth of 2%","Average international ranking of service salaries: 50th Percentile","U.S.A.","Average international ranking of universities: 60th Percentile",0,2,0,134,19,"Female",4,7,3,6,6,4
"Generous guaranteed monthly family allowance","Annual GDP Growth of 4%","Average international ranking of service salaries: 50th Percentile","U.S.A.","Average international ranking of universities: 90th Percentile",0,2,1,135,19,"Male",3,3,4,4,6,5
"Generous guaranteed monthly family allowance","Annual GDP Growth of 6%","Average international ranking of service salaries: 50th Percentile","Canada","Average international ranking of universities: 40th Percentile",0,2,0,136,20,"Male",4,3,4,5,5,5
"Basic hourly minimum wage","Annual GDP Growth of 6%","Average international ranking of service salaries: 90th Percentile","Australia","Average international ranking of universities: 60th Percentile",1,2,1,137,22,"Male",4,5,7,5,6,5
"Generous guaranteed monthly family allowance","Annual GDP Growth of 6%","Average international ranking of service salaries: 90th Percentile","Australia","Average international ranking of universities: 90th Percentile",1,2,1,138,40,"Male",5,7,4,7,7,7
"No state minimum wage or income support","Annual GDP Growth of 2%","Average international ranking of service salaries: 90th Percentile","U.S.A.","Average international ranking of universities: 60th Percentile",0,2,1,139,20,"Male",6,7,4,5,7,6
"Generous guaranteed monthly family allowance","Annual GDP Growth of 6%","Average international ranking of service salaries: 50th Percentile","Canada","Average international ranking of universities: 90th Percentile",1,2,0,140,22,"Female",3,4,5,4,5,3
"Generous guaranteed monthly family allowance","Annual GDP Growth of 2%","Average international ranking of service salaries: 90th Percentile","Australia","Average international ranking of universities: 60th Percentile",1,2,0,141,26,"Male",7,7,7,6,6,5
"No state minimum wage or income support","Annual GDP Growth of 6%","Average international ranking of service salaries: 70th Percentile","Australia","Average international ranking of universities: 90th Percentile",1,2,1,142,22,"Female",5,3,7,5,6,7
"No state minimum wage or income support","Annual GDP Growth of 2%","Average international ranking of service salaries: 90th Percentile","U.S.A.","Average international ranking of universities: 90th Percentile",1,2,0,143,21,"Male",4,3,5,3,7,5
"Basic hourly minimum wage","Annual GDP Growth of 6%","Average international ranking of service salaries: 90th Percentile","Canada","Average international ranking of universities: 40th Percentile",1,2,0,144,19,"Male",2,2,5,5,6,6
"Basic hourly minimum wage","Annual GDP Growth of 2%","Average international ranking of service salaries: 50th Percentile","U.S.A.","Average international ranking of universities: 60th Percentile",0,2,1,145,21,"Male",4,3,6,6,6,4
"Generous guaranteed monthly family allowance","Annual GDP Growth of 4%","Average international ranking of service salaries: 70th Percentile","U.S.A.","Average international ranking of universities: 40th Percentile",1,2,1,146,25,"Female",4,6,7,5,6,7
"No state minimum wage or income support","Annual GDP Growth of 4%","Average international ranking of service salaries: 90th Percentile","Australia","Average international ranking of universities: 60th Percentile",0,2,0,147,49,"Female",4,7,7,7,7,2
"Basic hourly minimum wage","Annual GDP Growth of 6%","Average international ranking of service salaries: 90th Percentile","Canada","Average international ranking of universities: 60th Percentile",1,2,0,148,33,"Female",3,4,5,5,6,3
"Generous guaranteed monthly family allowance","Annual GDP Growth of 6%","Average international ranking of service salaries: 50th Percentile","Canada","Average international ranking of universities: 90th Percentile",1,2,0,149,51,"Female",7,2,2,7,7,6
"Generous guaranteed monthly family allowance","Annual GDP Growth of 2%","Average international ranking of service salaries: 90th Percentile","Canada","Average international ranking of universities: 40th Percentile",0,2,1,150,30,"Male",5,3,5,5,6,7
"Basic hourly minimum wage","Annual GDP Growth of 4%","Average international ranking of service salaries: 90th Percentile","Canada","Average international ranking of universities: 90th Percentile",1,2,0,151,25,"Female",4,6,5,5,5,4
"Generous guaranteed monthly family allowance","Annual GDP Growth of 6%","Average international ranking of service salaries: 90th Percentile","U.S.A.","Average international ranking of universities: 60th Percentile",1,2,0,152,47,"Female",8,4,7,6,2,6
"Generous guaranteed monthly family allowance","Annual GDP Growth of 2%","Average international ranking of service salaries: 70th Percentile","Australia","Average international ranking of universities: 40th Percentile",1,2,0,153,45,"Female",6,7,2,6,6,3
"Basic hourly minimum wage","Annual GDP Growth of 2%","Average international ranking of service salaries: 90th Percentile","Canada","Average international ranking of universities: 90th Percentile",1,2,0,154,25,"Female",2,2,6,5,6,2
"No state minimum wage or income support","Annual GDP Growth of 6%","Average international ranking of service salaries: 70th Percentile","Australia","Average international ranking of universities: 60th Percentile",1,2,0,155,57,"Male",7,7,1,7,6,5
"No state minimum wage or income support","Annual GDP Growth of 4%","Average international ranking of service salaries: 70th Percentile","U.S.A.","Average international ranking of universities: 60th Percentile",1,2,0,156,30,"Male",7,4,3,5,7,6
"Generous guaranteed monthly family allowance","Annual GDP Growth of 4%","Average international ranking of service salaries: 50th Percentile","Australia","Average international ranking of universities: 90th Percentile",0,2,1,157,24,"Female",2,6,7,6,7,5
"No state minimum wage or income support","Annual GDP Growth of 6%","Average international ranking of service salaries: 90th Percentile","Australia","Average international ranking of universities: 90th Percentile",1,2,0,158,28,"Male",3,5,5,5,6,4
"Basic hourly minimum wage","Annual GDP Growth of 6%","Average international ranking of service salaries: 90th Percentile","Australia","Average international ranking of universities: 60th Percentile",1,2,0,159,23,"Female",7,6,7,6,6,5
"No state minimum wage or income support","Annual GDP Growth of 4%","Average international ranking of service salaries: 70th Percentile","U.S.A.","Average international ranking of universities: 60th Percentile",1,2,1,160,20,"Male",3,2,5,5,5,5
"Generous guaranteed monthly family allowance","Annual GDP Growth of 4%","Average international ranking of service salaries: 50th Percentile","Canada","Average international ranking of universities: 90th Percentile",1,2,1,161,21,"Female",5,2,3,5,6,5
"No state minimum wage or income support","Annual GDP Growth of 6%","Average international ranking of service salaries: 70th Percentile","Australia","Average international ranking of universities: 40th Percentile",1,2,0,162,40,"Male",2,3,5,5,6,3
"No state minimum wage or income support","Annual GDP Growth of 4%","Average international ranking of service salaries: 50th Percentile","Australia","Average international ranking of universities: 90th Percentile",1,2,1,163,22,"Female",4,7,6,6,6,5
"No state minimum wage or income support","Annual GDP Growth of 2%","Average international ranking of service salaries: 70th Percentile","Canada","Average international ranking of universities: 90th Percentile",0,2,1,164,30,"Female",4,4,5,4,4,5
"Generous guaranteed monthly family allowance","Annual GDP Growth of 4%","Average international ranking of service salaries: 70th Percentile","Canada","Average international ranking of universities: 60th Percentile",0,2,1,165,35,"Female",2,4,5,5,7,3
"Generous guaranteed monthly family allowance","Annual GDP Growth of 4%","Average international ranking of service salaries: 70th Percentile","Canada","Average international ranking of universities: 60th Percentile",1,2,1,166,23,"Female",4,2,7,3,5,6
"Basic hourly minimum wage","Annual GDP Growth of 4%","Average international ranking of service salaries: 50th Percentile","Canada","Average international ranking of universities: 40th Percentile",1,2,0,167,21,"Female",5,7,7,6,6,6
"No state minimum wage or income support","Annual GDP Growth of 4%","Average international ranking of service salaries: 50th Percentile","Canada","Average international ranking of universities: 40th Percentile",0,2,1,168,23,"Female",4,6,7,7,7,6
"No state minimum wage or income support","Annual GDP Growth of 2%","Average international ranking of service salaries: 90th Percentile","Australia","Average international ranking of universities: 60th Percentile",0,2,0,169,42,"Female",5,6,6,5,6,6
"Basic hourly minimum wage","Annual GDP Growth of 6%","Average international ranking of service salaries: 50th Percentile","U.S.A.","Average international ranking of universities: 90th Percentile",1,2,0,170,26,"Female",6,5,5,4,7,2
"Generous guaranteed monthly family allowance","Annual GDP Growth of 6%","Average international ranking of service salaries: 50th Percentile","Canada","Average international ranking of universities: 60th Percentile",1,2,0,171,29,"Male",2,4,7,4,5,2
"Basic hourly minimum wage","Annual GDP Growth of 6%","Average international ranking of service salaries: 90th Percentile","Canada","Average international ranking of universities: 60th Percentile",0,2,1,172,68,"Male",5,2,2,6,6,4
"Generous guaranteed monthly family allowance","Annual GDP Growth of 2%","Average international ranking of service salaries: 90th Percentile","Canada","Average international ranking of universities: 40th Percentile",1,2,0,173,21,"Male",3,7,7,6,6,5
"Basic hourly minimum wage","Annual GDP Growth of 6%","Average international ranking of service salaries: 90th Percentile","Canada","Average international ranking of universities: 40th Percentile",1,2,1,174,49,"Female",2,7,7,4,7,1
"Basic hourly minimum wage","Annual GDP Growth of 4%","Average international ranking of service salaries: 90th Percentile","Canada","Average international ranking of universities: 40th Percentile",0,2,0,175,39,"Male",4,2,2,6,6,4
"No state minimum wage or income support","Annual GDP Growth of 2%","Average international ranking of service salaries: 70th Percentile","Australia","Average international ranking of universities: 90th Percentile",0,2,0,176,21,"Female",4,7,1,3,4,3
"No state minimum wage or income support","Annual GDP Growth of 6%","Average international ranking of service salaries: 50th Percentile","U.S.A.","Average international ranking of universities: 40th Percentile",0,2,0,177,23,"Female",4,2,5,5,6,2
"No state minimum wage or income support","Annual GDP Growth of 4%","Average international ranking of service salaries: 70th Percentile","Australia","Average international ranking of universities: 60th Percentile",1,2,0,178,20,"Male",4,7,7,6,7,5
"Generous guaranteed monthly family allowance","Annual GDP Growth of 2%","Average international ranking of service salaries: 50th Percentile","U.S.A.","Average international ranking of universities: 40th Percentile",1,2,1,179,20,"Female",3,4,5,5,6,6
"No state minimum wage or income support","Annual GDP Growth of 6%","Average international ranking of service salaries: 50th Percentile","Australia","Average international ranking of universities: 60th Percentile",0,2,1,180,21,"Female",2,7,7,6,7,5
"Generous guaranteed monthly family allowance","Annual GDP Growth of 4%","Average international ranking of service salaries: 50th Percentile","Australia","Average international ranking of universities: 40th Percentile",0,2,1,181,20,"Male",6,7,3,6,5,5
"Basic hourly minimum wage","Annual GDP Growth of 4%","Average international ranking of service salaries: 70th Percentile","U.S.A.","Average international ranking of universities: 90th Percentile",1,2,0,182,21,"Male",7,4,3,6,2,5
"No state minimum wage or income support","Annual GDP Growth of 2%","Average international ranking of service salaries: 90th Percentile","U.S.A.","Average international ranking of universities: 60th Percentile",1,2,0,183,19,"Male",7,2,7,6,6,7
"Basic hourly minimum wage","Annual GDP Growth of 4%","Average international ranking of service salaries: 70th Percentile","Australia","Average international ranking of universities: 60th Percentile",1,2,0,184,20,"Female",3,5,6,6,6,2
"No state minimum wage or income support","Annual GDP Growth of 2%","Average international ranking of service salaries: 50th Percentile","Canada","Average international ranking of universities: 90th Percentile",0,2,0,185,26,"Female",0,6,6,6,6,6
"No state minimum wage or income support","Annual GDP Growth of 4%","Average international ranking of service salaries: 90th Percentile","Canada","Average international ranking of universities: 60th Percentile",0,2,0,186,22,"Female",5,5,5,7,7,7
"Basic hourly minimum wage","Annual GDP Growth of 6%","Average international ranking of service salaries: 90th Percentile","Canada","Average international ranking of universities: 90th Percentile",0,2,1,187,23,"Female",7,5,6,6,6,6
"No state minimum wage or income support","Annual GDP Growth of 2%","Average international ranking of service salaries: 50th Percentile","Australia","Average international ranking of universities: 90th Percentile",0,2,1,188,25,"Female",2,6,7,4,6,2
"No state minimum wage or income support","Annual GDP Growth of 4%","Average international ranking of service salaries: 70th Percentile","Canada","Average international ranking of universities: 90th Percentile",1,2,0,189,27,"Female",5,5,6,6,6,5
"No state minimum wage or income support","Annual GDP Growth of 2%","Average international ranking of service salaries: 50th Percentile","Canada","Average international ranking of universities: 40th Percentile",0,2,0,190,22,"Male",4,7,7,6,6,6
"No state minimum wage or income support","Annual GDP Growth of 6%","Average international ranking of service salaries: 70th Percentile","U.S.A.","Average international ranking of universities: 60th Percentile",1,2,1,191,20,"Male",4,6,5,6,7,5
"Generous guaranteed monthly family allowance","Annual GDP Growth of 2%","Average international ranking of service salaries: 70th Percentile","Australia","Average international ranking of universities: 40th Percentile",1,2,0,192,28,"Male",5,4,6,7,6,4
"No state minimum wage or income support","Annual GDP Growth of 4%","Average international ranking of service salaries: 70th Percentile","Canada","Average international ranking of universities: 40th Percentile",0,2,0,193,21,"Female",6,7,6,4,5,7
"Generous guaranteed monthly family allowance","Annual GDP Growth of 2%","Average international ranking of service salaries: 70th Percentile","Australia","Average international ranking of universities: 60th Percentile",0,2,0,194,28,"Male",8,6,6,5,6,7
"Basic hourly minimum wage","Annual GDP Growth of 2%","Average international ranking of service salaries: 50th Percentile","Australia","Average international ranking of universities: 40th Percentile",0,2,0,195,24,"Male",6,4,5,5,7,6
"Generous guaranteed monthly family allowance","Annual GDP Growth of 4%","Average international ranking of service salaries: 90th Percentile","U.S.A.","Average international ranking of universities: 60th Percentile",0,2,0,196,55,"Male",7,6,7,6,1,7
"Basic hourly minimum wage","Annual GDP Growth of 6%","Average international ranking of service salaries: 90th Percentile","Canada","Average international ranking of universities: 90th Percentile",1,1,1,1,30,"Male",5,2,5,6,4,7
"No state minimum wage or income support","Annual GDP Growth of 2%","Average international ranking of service salaries: 70th Percentile","U.S.A.","Average international ranking of universities: 40th Percentile",0,1,0,2,30,"Female",2,5,5,4,4,1
"Basic hourly minimum wage","Annual GDP Growth of 2%","Average international ranking of service salaries: 70th Percentile","U.S.A.","Average international ranking of universities: 90th Percentile",0,1,1,3,20,"Female",7,7,NA,6,6,5
"No state minimum wage or income support","Annual GDP Growth of 2%","Average international ranking of service salaries: 50th Percentile","Australia","Average international ranking of universities: 60th Percentile",0,1,0,4,21,"Female",5,3,5,4,4,6
"Generous guaranteed monthly family allowance","Annual GDP Growth of 4%","Average international ranking of service salaries: 90th Percentile","Australia","Average international ranking of universities: 40th Percentile",1,1,1,5,24,"Male",6,7,7,6,5,5
"No state minimum wage or income support","Annual GDP Growth of 2%","Average international ranking of service salaries: 90th Percentile","Canada","Average international ranking of universities: 40th Percentile",1,1,0,6,20,"Male",0,7,7,4,4,1
"Basic hourly minimum wage","Annual GDP Growth of 4%","Average international ranking of service salaries: 50th Percentile","U.S.A.","Average international ranking of universities: 90th Percentile",1,1,1,7,23,"Female",6,4,5,4,5,6
"Basic hourly minimum wage","Annual GDP Growth of 4%","Average international ranking of service salaries: 50th Percentile","Australia","Average international ranking of universities: 40th Percentile",1,1,0,8,20,"Male",2,6,5,7,7,5
"Basic hourly minimum wage","Annual GDP Growth of 4%","Average international ranking of service salaries: 70th Percentile","U.S.A.","Average international ranking of universities: 90th Percentile",0,1,1,9,22,"Female",3,6,6,5,5,2
"Basic hourly minimum wage","Annual GDP Growth of 2%","Average international ranking of service salaries: 50th Percentile","Canada","Average international ranking of universities: 90th Percentile",0,1,0,10,19,"Male",5,7,7,6,4,4
"No state minimum wage or income support","Annual GDP Growth of 6%","Average international ranking of service salaries: 50th Percentile","Canada","Average international ranking of universities: 60th Percentile",0,1,1,11,19,"Male",2,3,6,3,4,5
"No state minimum wage or income support","Annual GDP Growth of 6%","Average international ranking of service salaries: 50th Percentile","Australia","Average international ranking of universities: 40th Percentile",1,1,1,12,26,"Male",3,2,4,5,6,4
"Generous guaranteed monthly family allowance","Annual GDP Growth of 4%","Average international ranking of service salaries: 50th Percentile","Australia","Average international ranking of universities: 40th Percentile",0,1,0,13,25,"Female",2,7,7,6,7,6
"No state minimum wage or income support","Annual GDP Growth of 2%","Average international ranking of service salaries: 50th Percentile","Canada","Average international ranking of universities: 60th Percentile",0,1,1,14,45,"Female",3,7,2,6,6,5
"Basic hourly minimum wage","Annual GDP Growth of 4%","Average international ranking of service salaries: 50th Percentile","Australia","Average international ranking of universities: 40th Percentile",0,1,1,15,31,"Female",3,7,7,7,7,7
"Basic hourly minimum wage","Annual GDP Growth of 2%","Average international ranking of service salaries: 70th Percentile","Australia","Average international ranking of universities: 90th Percentile",0,1,0,16,31,"Female",5,7,7,5,5,6
"No state minimum wage or income support","Annual GDP Growth of 4%","Average international ranking of service salaries: 70th Percentile","Australia","Average international ranking of universities: 60th Percentile",1,1,0,17,19,"Male",5,6,6,5,5,3
"No state minimum wage or income support","Annual GDP Growth of 6%","Average international ranking of service salaries: 70th Percentile","U.S.A.","Average international ranking of universities: 90th Percentile",0,1,0,18,31,"Female",3,3,7,6,5,3
"Basic hourly minimum wage","Annual GDP Growth of 2%","Average international ranking of service salaries: 90th Percentile","Australia","Average international ranking of universities: 60th Percentile",1,1,0,19,33,"Male",5,6,6,5,6,7
"Basic hourly minimum wage","Annual GDP Growth of 2%","Average international ranking of service salaries: 70th Percentile","U.S.A.","Average international ranking of universities: 40th Percentile",1,1,0,20,19,"Female",3,3,6,6,6,5
